TypeSectionCode ;code ;DescriptionInEnglish ;DescriptionInRussian ;NameInEngish ;NameInRussian ;id
L ;MNA ;an area of mine sites where minerals and ores are extracted ;район шахтных участков, где добываются полезные ископаемые и руды ;mining area ;добыча полезных ископаемых ;f5891ee5-e92f-4b27-becb-659282845d9c
L ;MVA ;a tract of land where military field exercises are carried out ;участок земли, на котором проводятся военно-полевые учения ;maneuver area ;площадь маневра ;2dfec6ed-18ac-44ca-96d0-4e67b007fa37
L ;NVB ;an area used to store supplies, provide barracks for troops and naval personnel, a port for naval vessels, and from which operations are initiated ;область, используемая для хранения припасов, казарм для войск и военно-морского персонала, порта для военно-морских судов, откуда инициируются операции ;naval base ;военно-морская база ;08bcda6a-9642-45c1-a933-a46d8d4ca619
L ;OAS ;an area in a desert made productive by the availability of water ;территория в пустыне, продуктивная благодаря наличию воды ;oasis(-es) ;оазис (ы) ;c14b0c25-cecb-4330-850e-65e8deb4bbae
L ;OILF ;an area containing a subterranean store of petroleum of economic value ;область, содержащая подземные запасы нефти экономической ценности ;oilfield ;нефтяное месторождение ;f8cb1b09-c07c-41d6-a305-9e5c8be074d4
L ;PEAT ;an area where peat is harvested ;место добычи торфа ;peat cutting area ;участок торфяной выемки ;4b8081d3-786f-4dae-973a-dbb4bf0a2bf2
L ;PRK ;an area, often of forested land, maintained as a place of beauty, or for recreation ;территория, часто покрытая лесом, сохраняемая как место красоты или для отдыха ;park ;парк ;709266c2-51d6-42a7-aa6d-3f3af8b5ebc0
L ;PRT ;a place provided with terminal and transfer facilities for loading and discharging waterborne cargo or passengers, usually located in a harbor ;место, оборудованное терминалом и средствами перевалки для погрузки и выгрузки водного груза или пассажиров, обычно расположенное в гавани ;port ;порт ;eb8ed076-5623-4041-b999-d2d4514fc017
L ;QCKS ;an area where loose sand with water moving through it may become unstable when heavy objects are placed at the surface, causing them to sink ;область, где рыхлый песок с движущейся по нему водой может стать неустойчивым, когда на поверхность помещаются тяжелые предметы, в результате чего они тонут ;quicksand ;зыбучие пески ;54b88d08-7b27-448e-96c7-6df7da92b381
L ;RES ;a tract of public land reserved for future use or restricted as to use ;участок государственной земли, зарезервированный для будущего использования или ограниченный в использовании ;reserve ;бронировать ;7523c310-b37a-4725-aff1-b0a7ceb16008
L ;RESA ;a tract of land reserved for agricultural reclamation and/or development ;участок земли, предназначенный для сельскохозяйственной мелиорации и/или освоения ;agricultural reserve ;сельскохозяйственный резерв ;5adc577b-61e8-40ac-8e39-3a9b6ba45c03
L ;RESF ;a forested area set aside for preservation or controlled use ;лесной массив, предназначенный для сохранения или контролируемого использования ;forest reserve ;лесной заповедник ;ee592334-d18c-412e-966d-9e09d1c279ab
L ;RESH ;a tract of land used primarily for hunting ;участок земли, используемый в основном для охоты ;hunting reserve ;охотничий заказник ;fc2e3ba3-b2b3-4b4a-9641-9cea3d9b6c5d
L ;RESN ;an area reserved for the maintenance of a natural habitat ;территория, предназначенная для поддержания естественной среды обитания ;nature reserve ;естественный запас ;afc534a3-9fe9-4ed3-9109-25e4c18e9d9d
L ;RESP ;an area of palm trees where use is controlled ;участок пальм, использование которого контролируется ;palm tree reserve ;пальмовый заповедник ;22fb4784-b976-41c0-b00d-2d6220fb2691
L ;RESV ;a tract of land set aside for aboriginal, tribal, or native populations ;участок земли, отведенный для аборигенов, племен или местного населения ;reservation ;бронирование ;edb4f505-c9dd-4afe-9a34-46911c90d597
L ;RESW ;a tract of public land reserved for the preservation of wildlife ;участок государственной земли, зарезервированный для сохранения дикой природы ;wildlife reserve ;заповедник ;7640bd7c-a4e6-4216-98de-2f26c88b830a
L ;RGN ;an area distinguished by one or more observable physical or cultural characteristics ;территория, отличающаяся одной или несколькими наблюдаемыми физическими или культурными характеристиками ;region ;область ;e6af99e8-e398-4c27-b12b-37ad95deb00e
L ;RGNE ;a region of a country established for economic development or for statistical purposes ;регион страны, созданный для экономического развития или для статистических целей ;economic region ;экономический район ;4ce96771-d501-4b24-bf66-40353620397c
L ;RGNH ;a former historic area distinguished by one or more observable physical or cultural characteristics ;бывший исторический район, отличающийся одной или несколькими наблюдаемыми физическими или культурными характеристиками ;historical region ;историческая область ;7f89c1ad-bfc0-4d26-a119-90a9c0470dfe
L ;RGNL ;a tract of land distinguished by numerous lakes ;участок земли, отличающийся многочисленными озерами ;lake region ;Озерный край ;2dd959ce-38d5-4e5f-8a0c-3da64ecf0937
L ;RNGA ;a tract of land used for artillery firing practice ;участок земли, используемый для артиллерийских стрельб ;artillery range ;артиллерийский полигон ;36d1804e-5bf9-4288-9142-0958891f8ef8
L ;SALT ;a shallow basin or flat where salt accumulates after periodic inundation ;неглубокий бассейн или равнина, где скапливается соль после периодического затопления ;salt area ;соляная площадь ;4c600d01-0acc-423b-812b-bf97e35ea757
L ;SNOW ;an area of permanent snow and ice forming the accumulation area of a glacier ;область постоянного снега и льда, образующая область накопления ледника ;snowfield ;снежное поле ;6cc642a7-a707-496c-8c5f-eaec23ba90fd
L ;TRB ;a tract of land used by nomadic or other tribes ;участок земли, используемый кочевым или другим племенем ;tribal area ;племенная территория ;b3360c2e-0f05-4c12-be0b-2d773939f496
P ;PPL ;a city, town, village, or other agglomeration of buildings where people live and work ;город, поселок, деревня или другое скопление зданий, где живут и работают люди ;populated place ;населенный пункт ;5a62c955-a98b-474e-94d1-4a3785a830c3
P ;PPLA ;seat of a first-order administrative division (PPLC takes precedence over PPLA) ;резиденция административной единицы первого порядка (PPLC имеет приоритет над PPLA) ;seat of a first-order administrative division ;резиденция административной единицы первого порядка ;52ec06fb-ad80-4a7c-9d75-624859806dcd
P ;PPLA2 ;" " ;" " ;seat of a second-order administrative division ;резиденция административной единицы второго порядка ;8d4832cc-7a93-4e94-8871-7e8fb1a0528b
P ;PPLA3 ;" " ;" " ;seat of a third-order administrative division ;резиденция административной единицы третьего порядка ;7f51323b-165a-4130-93f8-c6d2649ffbb6
P ;PPLA4 ;" " ;" " ;seat of a fourth-order administrative division ;резиденция административной единицы четвертого порядка ;676cf09b-d6e8-4cd6-a5b5-0540f4760f66
P ;PPLA5 ;" " ;" " ;seat of a fifth-order administrative division ;резиденция административной единицы пятого порядка ;0dabd42b-583e-412b-aa6c-b74ef39f70f6
P ;PPLC ;" " ;" " ;capital of a political entity ;капитал политического образования ;e3f6602c-53c5-4ede-a6bd-aec2a46c63c6
P ;PPLCH ;a former capital of a political entity ;бывшая столица политического образования ;historical capital of a political entity ;историческая столица политического образования ;b8cfb9b2-b0e3-42b0-a3b8-11f587e4ca2f
P ;PPLF ;a populated place where the population is largely engaged in agricultural activities ;населенный пункт, где население в основном занимается сельскохозяйственной деятельностью ;farm village ;деревенская ферма ;721870d5-52ca-4a9e-8a77-279af9c6cf95
P ;PPLG ;" " ;" " ;seat of government of a political entity ;резиденция правительства политического образования ;6d074c88-821f-4180-bf98-f43d635a5887
P ;PPLH ;a populated place that no longer exists ;населенный пункт, которого больше нет ;historical populated place ;историческое населенное место ;c90cd39c-dff5-44c6-8b69-6271627afcb7
P ;PPLL ;an area similar to a locality but with a small group of dwellings or other buildings ;территория, похожая на местность, но с небольшой группой жилых или других построек ;populated locality ;населенный пункт ;d56ca0bd-6953-4eac-97f6-29178449a920
P ;PPLQ ;" " ;" " ;abandoned populated place ;заброшенный населенный пункт ;1d0aa56e-61f3-4cd8-a3c1-8076a33477f4
P ;PPLR ;a populated place whose population is largely engaged in religious occupations ;населенный пункт, население которого в основном занято религиозными занятиями ;religious populated place ;религиозное населенное место ;9a47b479-5095-4211-a7a5-642ddb1cd52a
P ;PPLS ;cities, towns, villages, or other agglomerations of buildings where people live and work ;города, поселки, деревни или другие скопления зданий, в которых живут и работают люди ;populated places ;населенные пункты ;28566913-b358-4e65-844b-8dff339bb05a
P ;PPLW ;a village, town or city destroyed by a natural disaster, or by war ;деревня, город или город, разрушенный стихийным бедствием или войной ;destroyed populated place ;разрушенный населенный пункт ;3ced2ad5-7892-4cf8-9a5e-46af70f4ee3e
P ;PPLX ;" " ;" " ;section of populated place ;часть населенного пункта ;c52e4482-1f73-4114-855c-dc1106d5af7b
P ;STLMT ;" " ;" " ;israeli settlement ;израильское поселение ;828bc3a7-2804-401a-86d2-3bf6929a038b
R ;CSWY ;a raised roadway across wet ground or shallow water ;приподнятая проезжая часть через влажную землю или мелководье ;causeway ;дамба ;d6c74108-36ef-406d-9c65-46cad287e9f2
R ;OILP ;a pipeline used for transporting oil ;трубопровод, используемый для транспортировки нефти ;oil pipeline ;нефтепровод ;5dc31a3e-8ef1-4b19-931a-a23c02526422
R ;PRMN ;a place for public walking, usually along a beach front ;место для прогулок, обычно вдоль пляжа ;promenade ;прогулка ;ee459687-0026-4294-92b4-aaa48720cc91
R ;PTGE ;a place where boats, goods, etc., are carried overland between navigable waters ;место, где лодки, товары и т. д. перевозятся по суше между судоходными водами ;portage ;перевозка ;20df35da-20ce-4f8c-9de0-20e43b1c34aa
R ;RD ;an open way with improved surface for transportation of animals, people and vehicles ;открытый путь с улучшенным покрытием для перевозки животных, людей и транспортных средств ;road ;дорога ;39d02572-93fc-4105-a18b-936db76f9051
R ;RDA ;the remains of a road used by ancient cultures ;остатки дороги, использовавшейся древними культурами ;ancient road ;древняя дорога ;6eee791c-a497-4e1d-9576-7960ae18fb1b
R ;RDB ;a conspicuously curved or bent section of a road ;заметно изогнутый или искривленный участок дороги ;road bend ;изгиб дороги ;3649266e-c37f-42df-956e-67d17cf94a64
R ;RDCUT ;an excavation cut through a hill or ridge for a road ;раскопки, прорезанные в холме или хребте для дороги ;road cut ;дорога ;e846f4e2-ecaf-4745-85f5-2c972fc91375
R ;RDJCT ;a place where two or more roads join ;место, где соединяются две или более дорог ;road junction ;Перекресток ;66d95f72-b99a-4ee6-8d01-1e243c1701bb
R ;RJCT ;a place where two or more railroad tracks join ;место, где соединяются два или более железнодорожных пути ;railroad junction ;железнодорожный узел ;038f9757-563b-4b3f-b20f-3d1b26b2805a
R ;RR ;a permanent twin steel-rail track on which freight and passenger cars move long distances ;постоянный сдвоенный стальной рельсовый путь, по которому грузовые и пассажирские вагоны перемещаются на большие расстояния. ;railroad ;железная дорога ;4c5cb6a6-f0ec-4cfe-9dd4-7d14d99b7db8
R ;RRQ ;" " ;" " ;abandoned railroad ;заброшенная железная дорога ;6c385e8d-a712-4d72-b7c6-4e536934a474
R ;RTE ;the route taken by caravans ;путь, пройденный караванами ;caravan route ;караванный путь ;0a87707d-8041-46b7-a4cf-5f8a65b6eb7b
R ;RYD ;a system of tracks used for the making up of trains, and switching and storing freight cars ;система путей, используемая для формирования поездов, переключения и хранения грузовых вагонов. ;railroad yard ;железнодорожная станция ;cd277721-43e4-460b-bb49-8549a350a4f5
R ;ST ;a paved urban thoroughfare ;асфальтированная городская улица ;street ;улица ;197390ee-9e2a-4f56-91dc-4a9a87326416
R ;STKR ;a route taken by livestock herds ;путь, пройденный стадами домашнего скота ;stock route ;запас маршрут ;96050475-ed35-4797-b699-b208ed4ed426
R ;TNL ;a subterranean passageway for transportation ;подземный ход для транспорта ;tunnel ;туннель ;087112f4-d968-40ea-a915-589b680899f6
R ;TNLN ;a cave that is open at both ends ;пещера, открытая с обоих концов ;natural tunnel ;естественный туннель ;986bda0c-d244-4fe3-9856-11b5f68db1e7
R ;TNLRD ;a tunnel through which a road passes ;тоннель, через который проходит дорога ;road tunnel ;дорожный туннель ;45326997-9eca-403f-9c52-4f91237c745e
R ;TNLRR ;a tunnel through which a railroad passes ;тоннель, через который проходит железная дорога ;railroad tunnel ;железнодорожный туннель ;bd8823d6-ee56-4cb2-b81d-06c1c621fa3d
R ;TNLS ;subterranean passageways for transportation ;подземные ходы для транспорта ;tunnels ;туннели ;4d55566e-ef90-40e6-8a9d-5f22d6cde80c
R ;TRL ;a path, track, or route used by pedestrians, animals, or off-road vehicles ;путь, дорожка или маршрут, используемый пешеходами, животными или внедорожниками ;trail ;тащить ;f684ae72-7de2-4906-a50b-e6051b3037a4
S ;ADMF ;a government building ;правительственное здание ;administrative facility ;административный объект ;43249cd7-fbed-4684-a1ba-60072e11b8c1
S ;AGRF ;a building and/or tract of land used for improving agriculture ;здание и/или участок земли, используемый для улучшения сельского хозяйства ;agricultural facility ;сельскохозяйственный объект ;d0b3b6f6-d506-4df7-8043-5bb15f75179a
S ;AIRB ;an area used to store supplies, provide barracks for air force personnel, hangars and runways for aircraft, and from which operations are initiated ;территория, используемая для хранения припасов, предоставления казарм для военно-воздушных сил, ангаров и взлетно-посадочных полос для самолетов и с которой начинаются операции ;airbase ;авиабаза ;99e8f26e-f679-481a-b974-7da18a5153e1
S ;AIRH ;a place where helicopters land and take off ;место, где вертолеты садятся и взлетают ;heliport ;вертолетная площадка ;4e726fea-54b4-4b9b-ad7b-bc53c7439cb2
S ;AIRP ;a place where aircraft regularly land and take off, with runways, navigational aids, and major facilities for the commercial handling of passengers and cargo ;место, где самолеты регулярно приземляются и взлетают, с взлетно-посадочными полосами, навигационными средствами и основными объектами для коммерческой обработки пассажиров и грузов. ;airport ;аэропорт ;398cd43c-efc4-43e7-9c2e-4dbda57a59b9
S ;AIRQ ;" " ;" " ;abandoned airfield ;заброшенный аэродром ;9bf5dfeb-aa0e-41b1-a1de-f099452c23f3
S ;AIRT ;airport facilities for the handling of freight and passengers ;аэровокзальные комплексы для обслуживания грузов и пассажиров ;terminal ;Терминал ;c0015b97-93d9-4e90-bad7-92f7805f2605
S ;AMTH ;an oval or circular structure with rising tiers of seats about a stage or open space ;овальная или круглая конструкция с восходящими ярусами сидений вокруг сцены или открытого пространства ;amphitheater ;амфитеатр ;2731d406-6893-41c3-891c-0d0719a6a088
S ;ANS ;a place where archeological remains, old structures, or cultural artifacts are located ;место, где находятся археологические памятники, старые постройки или культурные артефакты ;archaeological/prehistoric site ;археологический / доисторический памятник ;02323883-692c-40cc-aac5-bbf5cbfaa578
S ;ARCH ;a natural or man-made structure in the form of an arch ;природное или искусственное сооружение в виде арки ;arch ;арка ;5897c763-d53e-416e-be94-f708676499ae
S ;ARCHV ;a place or institution where documents are preserved ;место или учреждение, где хранятся документы ;archive ;архив ;b4c9beaf-a5f3-4b85-8d71-90ab7e18d13c
S ;ART ;a piece of art, like a sculpture, painting. In contrast to monument (MNMT) it is not commemorative. ;произведение искусства, как скульптура, живопись. В отличие от памятника (МНМТ) он не является памятным. ;piece of art ;художественное произведение ;202ed1ee-a4b3-4449-be08-d10c789cfa0e
S ;ASTR ;a point on the earth whose position has been determined by observations of celestial bodies ;точка на Земле, положение которой определено наблюдениями за небесными телами ;astronomical station ;астрономическая станция ;4211e65b-75aa-47d0-8bbe-94a1d2986ceb
S ;ASYL ;a facility where the insane are cared for and protected ;учреждение, где о душевнобольных заботятся и защищают ;asylum ;убежище ;a1ba2778-9f8b-4a66-8203-b8afd90d9b6b
S ;ATHF ;a tract of land used for playing team sports, and athletic track and field events ;участок земли, используемый для занятий командными видами спорта и легкой атлетикой ;athletic field ;спортивная площадка ;fe2def16-deff-4e3c-8d33-58f820712ff5
S ;ATM ;An unattended electronic machine in a public place, connected to a data system and related equipment and activated by a bank customer to obtain cash withdrawals and other banking services. ;Оставленная без присмотра электронная машина в общественном месте, подключенная к системе данных и соответствующему оборудованию и активируемая клиентом банка для получения наличных денег и других банковских услуг. ;automatic teller machine ;банкомат ;a6f00f2d-9349-4a8d-8451-674b8e02bdd1
S ;BANK ;A business establishment in which money is kept for saving or commercial purposes or is invested, supplied for loans, or exchanged. ;Коммерческое учреждение, в котором деньги хранятся для сбережений или коммерческих целей или инвестируются, предоставляются взаймы или обмениваются. ;bank ;банк ;50db690e-626e-4276-835d-b621e0398348
S ;BCN ;a fixed artificial navigation mark ;фиксированный искусственный навигационный знак ;beacon ;маяк ;ef72d635-2d63-4f9e-a746-daf170bb4ea4
S ;BDG ;a structure erected across an obstacle such as a stream, road, etc., in order to carry roads, railroads, and pedestrians across ;сооружение, возведенное над препятствием, таким как ручей, дорога и т. д., для перевозки дорог, железных дорог и пешеходов через них ;bridge ;мост ;f10f8896-0a1d-4ed9-a3f9-fa34aa27af1b
S ;BDGQ ;a destroyed or decayed bridge which is no longer functional ;разрушенный или полуразрушенный мост, который больше не функционирует ;ruined bridge ;разрушенный мост ;e1c29e6f-4a62-4258-bce1-fd59e7c57e06
S ;BLDA ;a building containing several individual apartments ;здание, состоящее из нескольких отдельных квартир ;apartment building ;жилой дом ;c4a78685-fd5d-4a4d-b993-5a1f2ecf154f
S ;BLDG ;a structure built for permanent use, as a house, factory, etc. ;сооружение, построенное для постоянного использования, как дом, фабрика и т. д. ;building(s) ;здание (а) ;3f4d7532-952f-4593-8415-281e8fca2fc0
S ;BLDO ;commercial building where business and/or services are conducted ;коммерческое здание, в котором ведется бизнес и/или предоставляются услуги ;office building ;офисное здание ;cf9f2d1d-2064-49d5-9e4d-f42f1ac990d3
S ;BP ;a fixture marking a point along a boundary ;приспособление, отмечающее точку вдоль границы ;boundary marker ;пограничный знак ;14f090a2-8a5f-4750-9430-87f507b1667b
S ;BRKS ;a building for lodging military personnel ;здание для проживания военнослужащих ;barracks ;казармы ;0ca45ef4-0e89-4e48-9339-75fc91c3a812
S ;BRKW ;a structure erected to break the force of waves at the entrance to a harbor or port ;сооружение, воздвигнутое, чтобы сломить силу волн у входа в гавань или порт ;breakwater ;волнорез ;2d29c7d8-66a2-4907-b5d3-121b66acc0de
S ;BSTN ;a facility for baling agricultural products ;установка для прессования сельскохозяйственной продукции ;baling station ;пакетировочная станция ;b859b85b-6540-479d-903c-d290e975e6cb
S ;BTYD ;a waterside facility for servicing, repairing, and building small vessels ;береговой комплекс для обслуживания, ремонта и постройки малых судов ;boatyard ;верфь ;dbfed711-c9e0-4058-8144-4c90672a3232
S ;BUR ;a cave used for human burials ;пещера, используемая для захоронения людей ;burial cave(s) ;погребальная пещера (ы) ;b6db2b92-69e4-4541-83b4-4f60c73dac7d
S ;BUSTN ;a facility comprising ticket office, platforms, etc. for loading and unloading passengers ;объект, включающий билетную кассу, платформы и т. д. для посадки и высадки пассажиров ;bus station ;автовокзал ;4acf0afa-b5dd-494d-9808-97479464b56f
S ;BUSTP ;a place lacking station facilities ;место без станционных сооружений ;bus stop ;автобусная остановка ;27588a64-52da-487b-9f6e-f474691f0c2b
S ;CARN ;a heap of stones erected as a landmark or for other purposes ;груда камней, воздвигнутая в качестве ориентира или для других целей ;cairn ;пирамида из камней ;3ea17c9b-a31b-40ee-ac54-790900554356
S ;CAVE ;an underground passageway or chamber, or cavity on the side of a cliff ;подземный проход или камера, или полость на склоне утеса ;cave(s) ;пещера (ы) ;586090c4-3469-4366-b404-67c04a77c3f1
S ;CH ;a building for public Christian worship ;здание для общественного христианского богослужения ;church ;церковь ;a6a30e55-9be4-42f9-8409-dc011bfacbf8
S ;CMP ;a site occupied by tents, huts, or other shelters for temporary use ;участок, занятый палатками, хижинами или другими укрытиями для временного использования ;camp(s) ;лагерь(и) ;6be4201b-f259-4b11-adb6-097756892c87
S ;CMPL ;a camp used by loggers ;лагерь, используемый лесорубами ;logging camp ;лесозаготовительный лагерь ;b721ad4e-7b92-4bfd-85f7-50d8c036000a
S ;CMPLA ;a camp used by migrant or temporary laborers ;лагерь, используемый мигрантами или временными рабочими ;labor camp ;трудовой лагерь ;b8bd6fc7-e7e3-46e0-a857-c9296810dde5
S ;CMPMN ;a camp used by miners ;лагерь шахтеров ;mining camp ;шахтерский лагерь ;ac6b1ce2-90d0-4f40-a505-ee404105688d
S ;CMPO ;a camp used by oilfield workers ;лагерь, используемый нефтяниками ;oil camp ;нефтяной лагерь ;bd110bde-61bc-4955-9416-d73bb618c02c
S ;CMPQ ;" " ;" " ;abandoned camp ;заброшенный лагерь ;07f1223e-3b9a-4c6a-9753-87364aaa7b43
S ;CMPRF ;a camp used by refugees ;лагерь, используемый беженцами ;refugee camp ;Лагерь беженцев ;efd0dbfd-938a-4c53-bdf2-8bf8bfe0e4d8
S ;CMTY ;a burial place or ground ;место захоронения или земля ;cemetery ;кладбище ;5950606f-ed81-46b2-86aa-0e23abd729a8
S ;COMC ;a facility, including buildings, antennae, towers and electronic equipment for receiving and transmitting information ;объект, включая здания, антенны, башни и электронное оборудование для приема и передачи информации ;communication center ;центр связи ;312c245d-49e7-4bf8-9855-29ab044402e9
S ;CRRL ;a pen or enclosure for confining or capturing animals ;загон или вольер для содержания или отлова животных ;corral(s) ;загон(ы) ;cc223a7b-941e-4615-8d05-3ea714f7b9de
S ;CSNO ;a building used for entertainment, especially gambling ;здание, используемое для развлечений, особенно азартных игр ;casino ;казино ;ca433c60-c7e7-4745-8443-ed71a0c86285
S ;CSTL ;a large fortified building or set of buildings ;большое укрепленное здание или комплекс зданий ;castle ;замок ;0ba75e41-4afa-4080-a0b7-eeec30cf5783
S ;CSTM ;a building in a port where customs and duties are paid, and where vessels are entered and cleared ;здание в порту, где уплачиваются таможенные сборы и пошлины, а также где заходят и проходят суда ;customs house ;Таможня ;e065f545-a87b-4e19-a094-2bb43c7be545
S ;CTHSE ;a building in which courts of law are held ;здание, в котором заседают суды ;courthouse ;здание суда ;48ee2064-f5bd-4479-b052-e3c16c8b3543
S ;CTRA ;a facility where atomic research is carried out ;объект, где проводятся атомные исследования ;atomic center ;атомный центр ;52197b15-44e8-4942-99cf-f0158c8f6e65
S ;CTRCM ;a facility for community recreation and other activities ;место для общественного отдыха и других мероприятий ;community center ;общественный центр ;846e5024-8cba-4e3d-9647-b8966d5e033a
S ;CTRF ;a place where more than one facility is situated ;место, где расположено более одного объекта ;facility center ;центр обслуживания ;0116e4e5-0684-4c0a-98b2-1698913b9462
S ;CTRM ;a complex of health care buildings including two or more of the following: hospital, medical school, clinic, pharmacy, doctor's offices, etc. ;комплекс медицинских зданий, включающий два или более из следующих объектов: больница, медицинский институт, поликлиника, аптека, врачебные кабинеты и т. д. ;medical center ;медицинский центр ;e24babe6-5b7b-4451-9c9c-4366d77b578f
S ;CTRR ;a facility where more than one religious activity is carried out, e.g., retreat, school, monastery, worship ;объект, в котором осуществляется более одной религиозной деятельности, например, ретрит, школа, монастырь, поклонение ;religious center ;религиозный центр ;f349de68-b7cd-4a9c-ae4f-c8a30a53b515
S ;CTRS ;a facility for launching, tracking, or controlling satellites and space vehicles ;средство для запуска, отслеживания или управления спутниками и космическими аппаратами ;space center ;космический центр ;5a7a8433-a15d-423e-83f2-47f4d6ab16d4
S ;CVNT ;a building where a community of nuns lives in seclusion ;здание, где уединенно живет община монахинь ;convent ;монастырь ;f91bb860-db0d-4c0f-88c3-33e69b5752e3
S ;DAM ;a barrier constructed across a stream to impound water ;барьер, построенный через ручей для удержания воды ;dam ;плотина ;7198e60a-64ac-45bf-9d25-0947a0e69912
S ;DAMQ ;a destroyed or decayed dam which is no longer functional ;разрушенная или обветшавшая плотина, которая больше не функционирует ;ruined dam ;разрушенная плотина ;d8dda455-2485-4168-a8a4-95fea48302d7
S ;DAMSB ;a dam put down to bedrock in a sand river ;плотина, уложенная в скалу в песчаной реке ;sub-surface dam ;подземная плотина ;29343d15-794c-4b2a-be8b-148b4ad5a5ad
S ;DARY ;a facility for the processing, sale and distribution of milk or milk products ;предприятие по переработке, продаже и распределению молока или молочных продуктов ;dairy ;молочный ;57e1c7a6-47fa-4bf4-b5b1-98ee713e10e5
S ;DCKD ;a dock providing support for a vessel, and means for removing the water so that the bottom of the vessel can be exposed ;док, обеспечивающий опору для судна, и средства для удаления воды, чтобы дно судна могло быть обнажено ;dry dock ;сухой док ;19c8c16d-3aa5-47cd-9e72-13cd2538db41
S ;DCKY ;a facility for servicing, building, or repairing ships ;предприятие по обслуживанию, строительству или ремонту судов ;dockyard ;верфь ;2e5c7505-d4a7-435e-aba4-0bd0c801173c
S ;DIKE ;an earth or stone embankment usually constructed for flood or stream control ;земляная или каменная насыпь, обычно сооружаемая для защиты от наводнений или ручьев ;dike ;плотина ;31d9656a-02e2-4ab8-90f9-4ed2dfd93629
S ;DIP ;office, residence, or facility of a foreign government, which may include an embassy, consulate, chancery, office of charge d'affaires, or other diplomatic, economic, military, or cultural mission ;офис, резиденция или объект иностранного правительства, которые могут включать посольство, консульство, канцелярию, офис поверенного в делах или другую дипломатическую, экономическую, военную или культурную миссию ;diplomatic facility ;дипломатический объект ;0a27407a-2a52-4ed3-a492-3b5f11374c57
S ;DPOF ;an area where fuel is stored ;помещение, где хранится топливо ;fuel depot ;топливный склад ;75287f10-3424-44cf-904a-c08102011980
S ;EST ;a large commercialized agricultural landholding with associated buildings and other facilities ;крупный коммерческий сельскохозяйственный земельный участок с соответствующими зданиями и другими объектами ;estate(s) ;поместье (а) ;3caa73ac-1ace-4c79-ae9e-08dc29d79bd5
S ;ESTO ;an estate specializing in the cultivation of oil palm trees ;поместье, специализирующееся на выращивании масличных пальм ;oil palm plantation ;плантация масличной пальмы ;ce925922-3bcc-410d-bce5-6be1becb50de
S ;ESTR ;an estate which specializes in growing and tapping rubber trees ;поместье, которое специализируется на выращивании и сборе каучуковых деревьев ;rubber plantation ;каучуковая плантация ;58e1abab-b465-4532-abb7-529e36c06a1c
S ;ESTSG ;an estate that specializes in growing sugar cane ;поместье, которое специализируется на выращивании сахарного тростника ;sugar plantation ;сахарная плантация ;f8478453-bec4-4b81-a1b9-642eb04a03d2
S ;ESTT ;an estate which specializes in growing tea bushes ;поместье, которое специализируется на выращивании чайных кустов ;tea plantation ;чайная плантация ;6ef1a08f-a369-4d56-a84a-24956424e4d0
S ;ESTX ;" " ;" " ;section of estate ;раздел недвижимости ;25b2d3d2-4b6a-4359-a5ef-18b501cb89ed
S ;FCL ;a building or buildings housing a center, institute, foundation, hospital, prison, mission, courthouse, etc. ;здание или здания, в которых размещается центр, институт, фонд, больница, тюрьма, миссия, здание суда и т. д. ;facility ;средство ;e1682d65-f53e-441b-a391-746133cd7d62
S ;FNDY ;a building or works where metal casting is carried out ;здание или завод, где осуществляется литье металла ;foundry ;Литейный завод ;471e8ce2-16d3-4939-8f2d-0810cf8414ff
S ;FRM ;a tract of land with associated buildings devoted to agriculture ;участок земли с соответствующими постройками, предназначенными для сельского хозяйства ;farm ;ферма ;e6357415-d101-4360-8743-d870424239be
S ;FRMQ ;" " ;" " ;abandoned farm ;заброшенная ферма ;8a35082a-7693-4326-b4fb-c31367bd9146
S ;FRMS ;tracts of land with associated buildings devoted to agriculture ;участки земли с соответствующими постройками, предназначенными для сельского хозяйства ;farms ;фермы ;39b1e4f6-e9a2-48c5-b442-ac97014c1bdc
S ;FRMT ;the buildings and adjacent service areas of a farm ;постройки и прилегающие служебные территории фермы ;farmstead ;усадьба ;784f2597-fd2f-4685-b543-e7340db4f72a
S ;FT ;a defensive structure or earthworks ;оборонительное сооружение или земляные валы ;fort ;форт ;0c364efd-40d2-4144-a566-3c9835bd87f9
S ;FY ;a boat or other floating conveyance and terminal facilities regularly used to transport people and vehicles across a waterbody ;лодка или другое плавучее транспортное средство и терминальные средства, регулярно используемые для перевозки людей и транспортных средств через водоем ;ferry ;перевозить ;3cced93e-6e0f-4bdc-bb4f-a1e87b8c0a5d
S ;FYT ;a place where ferries pick-up and discharge passengers, vehicles and or cargo ;место, где паромы принимают и выгружают пассажиров, транспортные средства и/или грузы ;ferry terminal ;паромный терминал ;821f26ac-1d15-4bec-b786-b4fec022aba1
S ;GATE ;a controlled access entrance or exit ;вход или выход с контролируемым доступом ;gate ;ворота ;60ac0cbd-ee60-49f6-bc1a-3fa0fb1106f4
S ;GDN ;an enclosure for displaying selected plant or animal life ;вольер для демонстрации избранных растений или животных ;garden(s) ;сад(ы) ;4e99aa36-715f-4333-998f-38a3596b86ab
